"federal_district";"federal_district_short";"region_code";"region_name";"okato";"id";"name";"name_short";"year";"e1";"e2";"e3";"e4";"e5";"e6";"e8";"ege_budg";"wos";"scopus";"rsci";"rnd";"total_income";"square";"phd_share";"pps";"rnd_private";"pk"
Южный федеральный округ;ЮФО;"1";Республика Адыгея (Адыгея);"79000000000";1;Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»;ФГБОУ ВО «АГУ»;2013;61.88;75.55;6.63;2556.79;14.22;"94.464";6.91;63.03;8.148;1.806;346.54200000000003;34979.8;1183805.084;53753;86.11;420;12016.199999999999;3781.4
Южный федеральный округ;ЮФО;"1";Республика Адыгея (Адыгея);"79000000000";1;Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»;ФГБОУ ВО «АГУ»;2014;55.81;76.32;9.17;2765.05;142.78;"55";7.33;57.6;15.721000000000002;29.7306;591.9454;34739.6;1258764.5;53753;88.74;398;11741.0;3749.05
Южный федеральный округ;ЮФО;"1";Республика Адыгея (Адыгея);"79000000000";1;Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»;ФГБОУ ВО «АГУ»;2015;57.45;86.4;12.43;2881.25;166.81;"55";7.1;58.58;20.482000000000003;55.825;1323.014;35750.5;1192261.0;51206;88.72;385;19762.05;3459.4
Южный федеральный округ;ЮФО;"1";Республика Адыгея (Адыгея);"79000000000";1;Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»;ФГБОУ ВО «АГУ»;2016;59.44;84.8;15.85;1976.0;146.02;"0";6.75;60.76;4.849;22.3054;1456.9006999999997;32631.6;760364.6;60484;90.93;373;21984.62;3514.65
Южный федеральный округ;ЮФО;"1";Республика Адыгея (Адыгея);"79000000000";1;Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»;ФГБОУ ВО «АГУ»;2017;60.15;109.27;24.5;2044.22;158.43;"65";5.75;61.82;3.9930000000000003;17.024700000000003;1014.9843000000001;39626.1;741335.0;60471;90.36;363;27054.39;4179.0
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";2;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»;ФГБОУ ВО «АлтГПУ»;2013;65.58;64.3;1.66;1572.76;12.34;"98.596";3.85;66.89;4.4672;10.0512;280.31679999999994;20093.2;491475.712;42865;78.37;349;1539.0900000000001;3474.8
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";2;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»;ФГБОУ ВО «АлтГПУ»;2014;61.02;88.97;1.8;1706.28;146.99;"75";3.74;62.26;1.0528;7.3366999999999996;519.9187000000001;27982.1;536624.2;49865;79.32;329;648.13;3541.95
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";2;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»;ФГБОУ ВО «АлтГПУ»;2015;60.42;93.05;2.09;1768.28;153.1;"75";3.48;62.58;4.1265;15.435;662.4134999999999;28496.1;541536.6;49861;78.8;315;27310.5;3475.65
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";2;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»;ФГБОУ ВО «АлтГПУ»;2016;61.54;82.44;2.37;1539.88;159.33;"70";4.01;64.56;7.8995;7.8995;669.2005;28669.5;535494.3;49861;78.61;305;23951.65;3642.7
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";2;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»;ФГБОУ ВО «АлтГПУ»;2017;61.86;83.53;2.62;1570.19;160.01;"70";3.79;64.85;11.2098;7.473199999999999;1204.0958;28098.2;528212.1;42861;78.76;314;20881.0;3720.65
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";3;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»;"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ";2013;61.74;59.9;4.34;1286.08;17.21;"97.224";4.92;63.62;11.251799999999998;19.95;494.2014;55138.9;1183811.508;144196;68.2;798;19535.04;8190.2
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";3;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»;"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ";2014;58.67;85.73;4.91;1574.29;147.49;"80";4.36;60.65;12.4476;46.830299999999994;602.5701;68135.8;1253954.4;145013;67.04;759;40940.46;7812.8
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";3;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»;"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ";2015;58.99;68.12;6.21;1533.92;151.91;"80";4.52;60.49;35.4207;62.216;1665.3385;50319.6;1133107.4;145045;69.38;707;38588.06;7393.0
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";3;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»;"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ";2016;58.08;94.05;6.28;1745.42;167.0;"75";4.5;60.15;46.1016;74.34219999999999;1715.2626;60535.1;1123442.4;117213;70.39;674;50731.979999999996;7004.8
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";3;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»;"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ";2017;58.65;71.56;7.37;1685.53;187.37;"75";5.2;61.95;73.2564;101.6158;1901.9532000000002;47325.4;1114642.0;117213;73.5;646;37687.64;6840.5
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";4;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»;ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ;2013;67.34;94.28;3.25;1305.93;9.62;"97.793";6.01;72.76;33.01540000000001;54.30440000000001;941.3228000000001;89627.5;1241514.834;78676;75.51;698;10239.66;7924.9
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";4;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»;ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ;2014;62.85;199.44;5.36;1452.0;195.56;"75";5.67;67.55;51.6146;86.7395;1416.8269;163524.2;1190495.9;53407;80.56;613;7472.469999999999;7811.55
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";4;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»;ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ;2015;63.9;191.07;7.87;1872.86;200.88;"75";5.43;68.21;88.15950000000001;112.905;1516.5539999999999;144533.9;1416727.2;53672;82.36;585;33017.4;7896.85
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";4;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»;ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ;2016;64.4;297.11;9.11;2473.39;211.92;"0";4.54;70.04;175.34099999999998;167.5296;1881.1070000000002;210261.8;1750415.7;54892;82.11;554;34109.78;8720.9
Сибирский федеральный округ;СФО;"22";Алтайский край;"01000000000";4;Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»;ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ;2017;63.71;316.77;10.68;2659.27;209.8;"65";3.75;69.49;249.99149999999997;216.14699999999996;2154.5485;194069.6;1629199.2;54050;81.82;545;72626.7;9048.3
Дальневосточный федеральный округ;ДВФО;"28";Амурская область;"10000000000";5;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»;ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ;2013;55.85;56.37;1.2;1230.6;11.13;"94.183";6.07;56.9;8.527199999999999;9.0882;241.8658;37135.5;810646.85;51527;56.48;374;8314.02;4592.9
Дальневосточный федеральный округ;ДВФО;"28";Амурская область;"10000000000";5;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»;ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ;2014;55.13;91.53;2.21;1975.84;160.18;"75";4.57;58.31;14.4136;19.2296;512.1472;39284.5;848031.5;95195;59.49;344;17196.56;4296.4
Дальневосточный федеральный округ;ДВФО;"28";Амурская область;"10000000000";5;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»;ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ;2015;55.95;111.68;3.49;2314.92;190.73;"75";4.9;57.5;13.513799999999998;32.5725;602.0307;42607.1;883140.7;82124;63.72;303;29718.239999999998;3705.9
Дальневосточный федеральный округ;ДВФО;"28";Амурская область;"10000000000";5;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»;ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ;2016;58.37;131.11;2.97;2209.84;180.57;"70";4.84;60.35;10.668;28.224;616.112;48143.3;811453.6;51023;70.87;280;34591.200000000004;3774.0
Дальневосточный федеральный округ;ДВФО;"28";Амурская область;"10000000000";5;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»;ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ;2017;58.65;138.38;3.0;2308.2;189.92;"65";4.86;61.23;23.9051;28.6972;924.6537;48088.7;802098.3;44861;71.8;277;34001.75;3708.8
Дальневосточный федеральный округ;ДВФО;"27";Хабаровский край;"08000000000";6;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»;ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»;2013;57.12;200.56;1.91;1935.16;16.05;"97.097";3.33;60.0;12.599400000000001;6.308;188.0614;31688.8;305758.82;26234;67.17;166;9201.38;1634.2
Дальневосточный федеральный округ;ДВФО;"27";Хабаровский край;"08000000000";6;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»;ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»;2014;56.11;236.61;2.3;1547.59;132.35;"80";3.59;58.54;8.9964;9.996;378.9954;34782.1;315271.5;26161;78.09;147;13228.529999999999;1449.6
Дальневосточный федеральный округ;ДВФО;"27";Хабаровский край;"08000000000";6;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»;ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»;2015;56.95;140.43;2.75;2405.97;143.24;"75";3.64;57.11;8.0262;11.583;288.82620000000003;18431.9;315783.5;26157;79.14;117;24974.82;1272.35
Дальневосточный федеральный округ;ДВФО;"27";Хабаровский край;"08000000000";6;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»;ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»;2016;58.34;107.25;2.57;1963.99;139.56;"75";3.96;59.8;5.015;15.033199999999999;397.6482;15149.4;277414.2;26157;75.47;118;22290.2;1285.5
Дальневосточный федеральный округ;ДВФО;"27";Хабаровский край;"08000000000";6;Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»;ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»;2017;57.53;95.32;2.19;2353.44;152.65;"65";3.85;58.2;4.4268;3.5462000000000002;271.23670000000004;12797.3;315949.0;26157;77.99;119;34433.840000000004;1353.8
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»;ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет;2013;51.07;75.53;0.0;1847.11;16.21;"93.028";3.57;51.82;11.4366;19.065900000000003;213.4734;11650.0;284913.47199999995;28871;69.23;147;9243.36;1781.6
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»;ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет;2014;49.91;95.3;0.04;2187.4;142.47;"80";3.76;50.4;16.255399999999998;17.1598;233.0377;12555.6;288189.5;28871;78.99;119;9415.28;1576.9
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»;ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет;2015;50.52;113.06;0.51;2163.74;171.79;"75";4.31;50.45;17.034200000000002;17.9246;193.6196;13369.4;255862.4;28871;83.77;106;10698.58;1305.9
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»;ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет;2016;50.65;128.74;0.19;2043.86;152.01;"0";4.66;50.75;17.8002;24.918300000000002;358.6275;14322.8;227379.9;28840;85.86;99;14873.76;1199.5
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";7;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»;ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет;2017;51.17;104.56;0.2;2343.87;159.91;"80";4.06;51.58;14.6592;42.0192;362.50559999999996;10272.7;230284.8;28840;85.37;96;10037.76;1164.7
Южный федеральный округ;ЮФО;"23";Краснодарский край;"03000000000";9;Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»;ФГБОУ ВО «АГПУ»;2013;62.71;72.79;1.66;1330.69;13.12;"95.701";2.78;63.26;0.0;0.0;133.34529999999998;17760.6;324684.126;36432;78.95;241;14674.49;2654.6
Южный федеральный округ;ЮФО;"23";Краснодарский край;"03000000000";9;Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»;ФГБОУ ВО «АГПУ»;2014;60.52;85.17;2.46;816.08;127.44;"75";3.17;63.32;0.0;5.6144;298.0714;22059.3;359865.9;36433;78.16;242;7889.200000000001;2541.1
Южный федеральный округ;ЮФО;"23";Краснодарский край;"03000000000";9;Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»;ФГБОУ ВО «АГПУ»;2015;63.9;73.39;3.56;1474.18;148.41;"70";3.28;63.86;0.0;8.88;366.2112;18328.0;368176.5;10741;80.09;222;15211.439999999999;2268.05
Южный федеральный округ;ЮФО;"23";Краснодарский край;"03000000000";9;Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»;ФГБОУ ВО «АГПУ»;2016;65.15;66.85;7.33;1433.55;170.64;"65";3.57;67.42;5.8362;9.158999999999999;370.40700000000004;17106.0;366844.4;10741;81.31;213;14239.05;2398.75
Южный федеральный округ;ЮФО;"23";Краснодарский край;"03000000000";9;Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»;ФГБОУ ВО «АГПУ»;2017;64.04;69.5;8.73;1414.31;178.88;"70";3.38;66.25;9.1164;9.9258;463.6797;17880.0;363830.7;10741;82.82;213;14068.65;2458.15
Южный федеральный округ;ЮФО;"30";Астраханская область;"12000000000";11;Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»;Астраханский государственный университет;2013;62.13;141.01;8.53;1359.85;12.34;"97.88";4.23;63.27;10.23;22.165;739.7653999999999;112836.0;1088136.0;88703;74.68;682;37496.36;7143.75
Южный федеральный округ;ЮФО;"30";Астраханская область;"12000000000";11;Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»;Астраханский государственный университет;2014;58.72;26.94;9.68;1575.76;125.5;"80";4.45;61.59;8.9175;18.573;880.8645;20498.4;1199153.4;87888;73.75;615;7546.05;6644.65
Южный федеральный округ;ЮФО;"30";Астраханская область;"12000000000";11;Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»;Астраханский государственный университет;2015;60.7;51.54;11.46;1312.01;142.37;"75";4.29;63.06;13.9605;36.5925;1229.1390000000001;36363.9;925621.1;58660;74.64;615;10036.8;5991.7
Южный федеральный округ;ЮФО;"30";Астраханская область;"12000000000";11;Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»;Астраханский государственный университет;2016;62.65;51.98;14.02;1309.93;146.69;"70";4.44;64.68;13.354000000000001;24.9477;1039.7303;35443.5;893238.5;35322;75.32;607;11715.1;6093.5
Южный федеральный округ;ЮФО;"30";Астраханская область;"12000000000";11;Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»;Астраханский государственный университет;2017;64.51;52.59;20.31;1659.81;172.18;"65";4.01;66.02;30.5146;32.303200000000004;1024.109;31787.7;1003187.8;49872;76.48;542;15409.06;6184.55
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";12;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;ФГБОУ ВО «БГУ»;2013;59.5;139.91;2.68;1900.8;6.23;"94.037";4.02;72.23;1.4094;13.316400000000002;446.05080000000004;96954.0;1317194.76;51774;75.87;486;9044.46;8253.1
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";12;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;ФГБОУ ВО «БГУ»;2014;65.58;139.01;2.38;1993.89;165.08;"75";4.02;68.76;2.1414;17.1312;494.56380000000007;97005.4;1391439.4;51076;75.46;498;4158.3;7673.3
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";12;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;ФГБОУ ВО «БГУ»;2015;66.05;142.22;2.35;2208.55;169.66;"70";4.05;71.06;21.9;24.95;834.05;94128.5;1461731.0;48199;73.73;500;55740.0;7334.05
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";12;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;ФГБОУ ВО «БГУ»;2016;65.11;122.57;2.72;2545.54;166.99;"0";3.74;72.24;6.7398;23.660999999999998;779.7136;69355.9;1440394.9;48671;73.94;478;46466.38;7384.4
Сибирский федеральный округ;СФО;"38";Иркутская область;"25000000000";12;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;ФГБОУ ВО «БГУ»;2017;60.87;100.47;2.96;2253.23;185.91;"65";3.78;73.15;33.614399999999996;11.4432;828.0675;58792.2;1318474.9;46774;73.5;447;44910.09;6662.25
Северо-западный федеральный округ;СЗФО;"78";г. Санкт-Петербург;"40000000000";13;Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»;БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова;2013;62.62;203.35;6.19;1639.03;15.13;"99.215";5.88;63.64;0.0;6.3382000000000005;64.2334;106350.3;857218.1075;68475;62.97;473;68107.27;4525.25
Северо-западный федеральный округ;СЗФО;"78";г. Санкт-Петербург;"40000000000";13;Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»;БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова;2014;63.18;221.6;7.07;1675.16;124.84;"80";5.41;65.7;0.0;13.4904;136.7982;121260.1;916648.8;68475;59.13;462;25058.88;4373.85
Северо-западный федеральный округ;СЗФО;"78";г. Санкт-Петербург;"40000000000";13;Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»;БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова;2015;62.76;256.62;6.11;1960.06;144.79;"75";5.37;66.93;2.8487;24.5175;64.0724;127165.9;971308.8;68475;59.7;467;86049.42;4491.8
Северо-западный федеральный округ;СЗФО;"78";г. Санкт-Петербург;"40000000000";13;Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»;БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова;2016;63.32;228.09;5.28;2270.03;165.02;"80";4.68;68.86;14.9265;27.016499999999997;539.5395;113818.1;1132745.6;62411;57.95;465;67048.35;5095.35
Северо-западный федеральный округ;СЗФО;"78";г. Санкт-Петербург;"40000000000";13;Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»;БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова;2017;62.84;400.65;4.87;2617.17;194.18;"80";4.38;68.42;83.29809999999999;48.283199999999994;796.1459000000001;202729.7;1324286.7;62411;56.57;479;92940.37;5386.2
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";14;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»;ФГБОУ ВО «БГПУ им. М. Акмуллы», Башкирский государственный педагогический университет им. М. Акмуллы;2013;62.46;60.1;1.15;1645.05;16.14;"97.536";4.43;63.0;28.110599999999998;30.0894;307.1796;34848.2;953815.7819999999;93724;64.25;582;21848.28;5350.7
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";14;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»;ФГБОУ ВО «БГПУ им. М. Акмуллы», Башкирский государственный педагогический университет им. М. Акмуллы;2014;57.74;100.06;2.0;2129.1;160.08;"80";4.55;59.74;15.7875;28.038600000000002;760.5365;48077.9;1028518.9;93688;72.75;421;30227.8;5015.25
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";14;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»;ФГБОУ ВО «БГПУ им. М. Акмуллы», Башкирский государственный педагогический университет им. М. Акмуллы;2015;60.24;98.06;2.98;2086.28;185.89;"70";4.26;61.61;18.392;42.8868;873.8290000000001;46815.2;995990.2;93600;72.63;418;39868.84;5045.15
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";14;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»;ФГБОУ ВО «БГПУ им. М. Акмуллы», Башкирский государственный педагогический университет им. М. Акмуллы;2016;62.15;112.01;3.09;2504.58;173.6;"70";3.63;63.04;33.9326;81.0433;1467.4438999999998;47896.5;1070956.4;98208;74.72;403;46647.25;4994.95
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";14;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»;ФГБОУ ВО «БГПУ им. М. Акмуллы», Башкирский государственный педагогический университет им. М. Акмуллы;2017;63.13;126.84;2.81;2746.87;178.91;"70";3.0;64.78;27.0816;31.740800000000004;1683.864;49435.4;1070590.7;98208;73.9;364;46934.159999999996;4934.4
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»;ФГБОУ ВО «Башкирский государственный университет», Башкирский государственный университет, БашГУ;2013;66.11;118.6;1.81;1295.05;9.88;"97.128";6.1;68.35;68.068;78.89699999999999;1021.02;130015.9;1419709.2;98288;75.83;910;37646.7;9750.75
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»;ФГБОУ ВО «Башкирский государственный университет», Башкирский государственный университет, БашГУ;2014;62.74;168.1;1.87;1653.06;160.48;"75";5.17;64.23;96.473;142.35649999999998;2786.4045;162431.0;1597272.3;97591;79.07;905;68436.1;9617.5
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»;ФГБОУ ВО «Башкирский государственный университет», Башкирский государственный университет, БашГУ;2015;64.63;174.83;2.77;1747.2;187.53;"75";4.99;65.36;191.1967;230.44729999999998;5221.443899999999;152805.4;1527050.5;97574;78.47;857;83848.88;8668.35
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»;ФГБОУ ВО «Башкирский государственный университет», Башкирский государственный университет, БашГУ;2016;66.28;176.61;3.24;1880.99;173.85;"75";4.92;67.19;175.01330000000002;223.24400000000003;7814.3730000000005;155506.0;1656207.9;98710;84.11;833;82175.45000000001;9258.75
Приволжский федеральный округ;ПФО;"2";Республика Башкортостан;"80000000000";15;Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»;ФГБОУ ВО «Башкирский государственный университет», Башкирский государственный университет, БашГУ;2017;66.85;198.97;3.5;1894.65;184.01;"70";4.76;68.04;182.12220000000002;228.7944;7817.013000000001;164915.1;1570378.5;97088;90.05;774;105952.85999999999;9468.3
Центральный федеральный округ;ЦФО;"31";Белгородская область;"14000000000";16;Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»;БГТУ им. В.Г. Шухова, Белгородский государственный технологический университет им. В.Г. Шухова;2013;68.69;263.68;6.43;1823.69;11.37;"98.327";3.41;72.39;24.9536;100.5385;581.9536;200134.2;1384141.934;98253;67.1;557;46804.71;8623.4
Центральный федеральный округ;ЦФО;"31";Белгородская область;"14000000000";16;Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»;БГТУ им. В.Г. Шухова, Белгородский государственный технологический университет им. В.Г. Шухова;2014;61.72;334.12;8.25;2121.46;141.21;"85";3.59;62.54;26.797199999999997;135.5204;1149.3203999999998;252663.1;1604247.4;114919;68.38;548;35828.24;8313.3
Центральный федеральный округ;ЦФО;"31";Белгородская область;"14000000000";16;Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»;БГТУ им. В.Г. Шухова, Белгородский государственный технологический университет им. В.Г. Шухова;2015;62.76;291.42;8.77;1919.27;148.83;"80";3.64;62.61;64.2555;293.3735;6290.1720000000005;222502.0;1465362.3;115583;68.9;545;76539.8;8211.25
Центральный федеральный округ;ЦФО;"31";Белгородская область;"14000000000";16;Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»;БГТУ им. В.Г. Шухова, Белгородский государственный технологический университет им. В.Г. Шухова;2016;63.01;254.01;8.87;1790.91;160.15;"75";3.7;62.51;29.5887;64.6323;6404.7138;203509.4;1434874.2;97660;70.37;551;79608.48;8179.75
